id,name,lat,long,updatedDate,numBikes,numEmptyDocks,installed,locked,installedDate
214,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,2020-10-05 13:19:00,14,18,true,false,2010-07-19 12:00:00
215,"Moorfields, Moorgate",51.51906932,-0.088285377,2020-10-05 13:19:00,17,36,true,false,2010-07-19 12:03:00
216,"Old Brompton Road, South Kensington",51.49094565,-0.181190899,2020-10-05 13:19:00,3,27,true,false,2010-07-19 12:12:00
217,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,2020-10-05 13:19:00,7,8,true,false,2010-07-19 12:14:00
218,"St. Luke's Church, Chelsea",51.48971651,-0.170194408,2020-10-05 13:19:00,15,5,true,false,2010-07-19 13:49:00
219,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,2020-10-05 13:19:00,2,27,true,false,2010-07-19 14:25:00
220,"Chelsea Green, Chelsea",51.49066456,-0.166485083,2020-10-05 13:19:00,17,10,true,false,2010-07-19 14:32:00
221,"Horseferry Road, Westminster",51.49481649,-0.13045856,2020-10-05 13:19:00,11,5,true,false,2010-07-19 16:10:00
222,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,2020-10-05 13:19:00,18,24,true,false,2010-07-20 09:22:00
223,"Rodney Road , Walworth",51.49148474,-0.090220911,2020-10-05 13:19:00,7,17,true,false,2010-07-20 09:27:00
224,"Queensway, Kensington Gardens",51.51031,-0.18740235,2020-10-05 13:19:00,0,13,true,false,2010-07-20 09:37:00
225,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,2020-10-05 13:19:00,9,18,true,false,2010-07-20 09:58:00
226,"Charles II Street, West End",51.50844614,-0.131961389,2020-10-05 13:19:00,13,11,true,false,2010-07-20 10:02:00
